inspection_id,inspection_timestamp,inspector_name,product_name,overall_compliance_status,overall_compliance_score,field_name,extracted_value,optical_confidence,field_status,font_char_height_mm,font_min_required_mm,font_status,pdp_grouping_status,clear_space_status,total_violations_count,violations_summary
INS-7975DDEB,2026-09-12 13:07:45,Supervisor Sunita Patel,MYFITNESS,NON-COMPLIANT,56.2,product_name,MYFITNESS,98.6,CONFIRMED_PRESENT,10.24,1.0,PASS,PASS,FAIL,6,"Manufacturer Name: No manufacturer or corporate identity detected on packaging, invoking strict penal liability under Section 36(1) of the Act.; Manufacturer Name: Mandatory declaration 'Manufacturer / Packer / Importer Name' is missing from the package label.; Manufacturer Address: Complete postal address of the manufacturer or packer is missing from the packaging.; Mrp: Maximum Retail Price (MRP) declaration is completely missing from the package in violation of Rule 6(1)(e) and Section 18 of the Act.; Country Of Origin: Country of Origin declaration ('Made in India' / 'Country of Origin') was not detected on the package.; Declaration Placement: Rule 8 placement violation detected: Printed information encroaches into the statutory clear space surrounding the net quantity numeral in violation of Rule 8(1) Proviso. Detected 3 encroaching text element(s) (e.g. 'Batch No. :See CapBodom')."
INS-7975DDEB,2026-09-12 13:07:45,Supervisor Sunita Patel,MYFITNESS,NON-COMPLIANT,56.2,manufacturer,,0.0,NOT_VERIFIABLE,,,NOT_VERIFIABLE,PASS,FAIL,6,"Manufacturer Name: No manufacturer or corporate identity detected on packaging, invoking strict penal liability under Section 36(1) of the Act.; Manufacturer Name: Mandatory declaration 'Manufacturer / Packer / Importer Name' is missing from the package label.; Manufacturer Address: Complete postal address of the manufacturer or packer is missing from the packaging.; Mrp: Maximum Retail Price (MRP) declaration is completely missing from the package in violation of Rule 6(1)(e) and Section 18 of the Act.; Country Of Origin: Country of Origin declaration ('Made in India' / 'Country of Origin') was not detected on the package.; Declaration Placement: Rule 8 placement violation detected: Printed information encroaches into the statutory clear space surrounding the net quantity numeral in violation of Rule 8(1) Proviso. Detected 3 encroaching text element(s) (e.g. 'Batch No. :See CapBodom')."
INS-7975DDEB,2026-09-12 13:07:45,Supervisor Sunita Patel,MYFITNESS,NON-COMPLIANT,56.2,manufacturer_name,,0.0,NOT_VERIFIABLE,,,N/A,PASS,FAIL,6,"Manufacturer Name: No manufacturer or corporate identity detected on packaging, invoking strict penal liability under Section 36(1) of the Act.; Manufacturer Name: Mandatory declaration 'Manufacturer / Packer / Importer Name' is missing from the package label.; Manufacturer Address: Complete postal address of the manufacturer or packer is missing from the packaging.; Mrp: Maximum Retail Price (MRP) declaration is completely missing from the package in violation of Rule 6(1)(e) and Section 18 of the Act.; Country Of Origin: Country of Origin declaration ('Made in India' / 'Country of Origin') was not detected on the package.; Declaration Placement: Rule 8 placement violation detected: Printed information encroaches into the statutory clear space surrounding the net quantity numeral in violation of Rule 8(1) Proviso. Detected 3 encroaching text element(s) (e.g. 'Batch No. :See CapBodom')."
INS-7975DDEB,2026-09-12 13:07:45,Supervisor Sunita Patel,MYFITNESS,NON-COMPLIANT,56.2,packer,,0.0,NOT_VERIFIABLE,,,N/A,PASS,FAIL,6,"Manufacturer Name: No manufacturer or corporate identity detected on packaging, invoking strict penal liability under Section 36(1) of the Act.; Manufacturer Name: Mandatory declaration 'Manufacturer / Packer / Importer Name' is missing from the package label.; Manufacturer Address: Complete postal address of the manufacturer or packer is missing from the packaging.; Mrp: Maximum Retail Price (MRP) declaration is completely missing from the package in violation of Rule 6(1)(e) and Section 18 of the Act.; Country Of Origin: Country of Origin declaration ('Made in India' / 'Country of Origin') was not detected on the package.; Declaration Placement: Rule 8 placement violation detected: Printed information encroaches into the statutory clear space surrounding the net quantity numeral in violation of Rule 8(1) Proviso. Detected 3 encroaching text element(s) (e.g. 'Batch No. :See CapBodom')."
INS-7975DDEB,2026-09-12 13:07:45,Supervisor Sunita Patel,MYFITNESS,NON-COMPLIANT,56.2,importer,,0.0,NOT_VERIFIABLE,,,N/A,PASS,FAIL,6,"Manufacturer Name: No manufacturer or corporate identity detected on packaging, invoking strict penal liability under Section 36(1) of the Act.; Manufacturer Name: Mandatory declaration 'Manufacturer / Packer / Importer Name' is missing from the package label.; Manufacturer Address: Complete postal address of the manufacturer or packer is missing from the packaging.; Mrp: Maximum Retail Price (MRP) declaration is completely missing from the package in violation of Rule 6(1)(e) and Section 18 of the Act.; Country Of Origin: Country of Origin declaration ('Made in India' / 'Country of Origin') was not detected on the package.; Declaration Placement: Rule 8 placement violation detected: Printed information encroaches into the statutory clear space surrounding the net quantity numeral in violation of Rule 8(1) Proviso. Detected 3 encroaching text element(s) (e.g. 'Batch No. :See CapBodom')."
INS-7975DDEB,2026-09-12 13:07:45,Supervisor Sunita Patel,MYFITNESS,NON-COMPLIANT,56.2,net_quantity,1Kg,97.4,CONFIRMED_PRESENT,3.55,1.0,PASS,PASS,FAIL,6,"Manufacturer Name: No manufacturer or corporate identity detected on packaging, invoking strict penal liability under Section 36(1) of the Act.; Manufacturer Name: Mandatory declaration 'Manufacturer / Packer / Importer Name' is missing from the package label.; Manufacturer Address: Complete postal address of the manufacturer or packer is missing from the packaging.; Mrp: Maximum Retail Price (MRP) declaration is completely missing from the package in violation of Rule 6(1)(e) and Section 18 of the Act.; Country Of Origin: Country of Origin declaration ('Made in India' / 'Country of Origin') was not detected on the package.; Declaration Placement: Rule 8 placement violation detected: Printed information encroaches into the statutory clear space surrounding the net quantity numeral in violation of Rule 8(1) Proviso. Detected 3 encroaching text element(s) (e.g. 'Batch No. :See CapBodom')."
INS-7975DDEB,2026-09-12 13:07:45,Supervisor Sunita Patel,MYFITNESS,NON-COMPLIANT,56.2,mrp,,0.0,NOT_VERIFIABLE,,,NOT_VERIFIABLE,PASS,FAIL,6,"Manufacturer Name: No manufacturer or corporate identity detected on packaging, invoking strict penal liability under Section 36(1) of the Act.; Manufacturer Name: Mandatory declaration 'Manufacturer / Packer / Importer Name' is missing from the package label.; Manufacturer Address: Complete postal address of the manufacturer or packer is missing from the packaging.; Mrp: Maximum Retail Price (MRP) declaration is completely missing from the package in violation of Rule 6(1)(e) and Section 18 of the Act.; Country Of Origin: Country of Origin declaration ('Made in India' / 'Country of Origin') was not detected on the package.; Declaration Placement: Rule 8 placement violation detected: Printed information encroaches into the statutory clear space surrounding the net quantity numeral in violation of Rule 8(1) Proviso. Detected 3 encroaching text element(s) (e.g. 'Batch No. :See CapBodom')."
INS-7975DDEB,2026-09-12 13:07:45,Supervisor Sunita Patel,MYFITNESS,NON-COMPLIANT,56.2,MRP,,0.0,NOT_VERIFIABLE,,,N/A,PASS,FAIL,6,"Manufacturer Name: No manufacturer or corporate identity detected on packaging, invoking strict penal liability under Section 36(1) of the Act.; Manufacturer Name: Mandatory declaration 'Manufacturer / Packer / Importer Name' is missing from the package label.; Manufacturer Address: Complete postal address of the manufacturer or packer is missing from the packaging.; Mrp: Maximum Retail Price (MRP) declaration is completely missing from the package in violation of Rule 6(1)(e) and Section 18 of the Act.; Country Of Origin: Country of Origin declaration ('Made in India' / 'Country of Origin') was not detected on the package.; Declaration Placement: Rule 8 placement violation detected: Printed information encroaches into the statutory clear space surrounding the net quantity numeral in violation of Rule 8(1) Proviso. Detected 3 encroaching text element(s) (e.g. 'Batch No. :See CapBodom')."
INS-7975DDEB,2026-09-12 13:07:45,Supervisor Sunita Patel,MYFITNESS,NON-COMPLIANT,56.2,manufacturing_date,,0.0,NOT_VERIFIABLE,,,NOT_VERIFIABLE,PASS,FAIL,6,"Manufacturer Name: No manufacturer or corporate identity detected on packaging, invoking strict penal liability under Section 36(1) of the Act.; Manufacturer Name: Mandatory declaration 'Manufacturer / Packer / Importer Name' is missing from the package label.; Manufacturer Address: Complete postal address of the manufacturer or packer is missing from the packaging.; Mrp: Maximum Retail Price (MRP) declaration is completely missing from the package in violation of Rule 6(1)(e) and Section 18 of the Act.; Country Of Origin: Country of Origin declaration ('Made in India' / 'Country of Origin') was not detected on the package.; Declaration Placement: Rule 8 placement violation detected: Printed information encroaches into the statutory clear space surrounding the net quantity numeral in violation of Rule 8(1) Proviso. Detected 3 encroaching text element(s) (e.g. 'Batch No. :See CapBodom')."
INS-7975DDEB,2026-09-12 13:07:45,Supervisor Sunita Patel,MYFITNESS,NON-COMPLIANT,56.2,packing_date,,0.0,NOT_VERIFIABLE,,,N/A,PASS,FAIL,6,"Manufacturer Name: No manufacturer or corporate identity detected on packaging, invoking strict penal liability under Section 36(1) of the Act.; Manufacturer Name: Mandatory declaration 'Manufacturer / Packer / Importer Name' is missing from the package label.; Manufacturer Address: Complete postal address of the manufacturer or packer is missing from the packaging.; Mrp: Maximum Retail Price (MRP) declaration is completely missing from the package in violation of Rule 6(1)(e) and Section 18 of the Act.; Country Of Origin: Country of Origin declaration ('Made in India' / 'Country of Origin') was not detected on the package.; Declaration Placement: Rule 8 placement violation detected: Printed information encroaches into the statutory clear space surrounding the net quantity numeral in violation of Rule 8(1) Proviso. Detected 3 encroaching text element(s) (e.g. 'Batch No. :See CapBodom')."
INS-7975DDEB,2026-09-12 13:07:45,Supervisor Sunita Patel,MYFITNESS,NON-COMPLIANT,56.2,batch_number,,0.0,NOT_VERIFIABLE,,,N/A,PASS,FAIL,6,"Manufacturer Name: No manufacturer or corporate identity detected on packaging, invoking strict penal liability under Section 36(1) of the Act.; Manufacturer Name: Mandatory declaration 'Manufacturer / Packer / Importer Name' is missing from the package label.; Manufacturer Address: Complete postal address of the manufacturer or packer is missing from the packaging.; Mrp: Maximum Retail Price (MRP) declaration is completely missing from the package in violation of Rule 6(1)(e) and Section 18 of the Act.; Country Of Origin: Country of Origin declaration ('Made in India' / 'Country of Origin') was not detected on the package.; Declaration Placement: Rule 8 placement violation detected: Printed information encroaches into the statutory clear space surrounding the net quantity numeral in violation of Rule 8(1) Proviso. Detected 3 encroaching text element(s) (e.g. 'Batch No. :See CapBodom')."
INS-7975DDEB,2026-09-12 13:07:45,Supervisor Sunita Patel,MYFITNESS,NON-COMPLIANT,56.2,best_before,,0.0,NOT_VERIFIABLE,,,N/A,PASS,FAIL,6,"Manufacturer Name: No manufacturer or corporate identity detected on packaging, invoking strict penal liability under Section 36(1) of the Act.; Manufacturer Name: Mandatory declaration 'Manufacturer / Packer / Importer Name' is missing from the package label.; Manufacturer Address: Complete postal address of the manufacturer or packer is missing from the packaging.; Mrp: Maximum Retail Price (MRP) declaration is completely missing from the package in violation of Rule 6(1)(e) and Section 18 of the Act.; Country Of Origin: Country of Origin declaration ('Made in India' / 'Country of Origin') was not detected on the package.; Declaration Placement: Rule 8 placement violation detected: Printed information encroaches into the statutory clear space surrounding the net quantity numeral in violation of Rule 8(1) Proviso. Detected 3 encroaching text element(s) (e.g. 'Batch No. :See CapBodom')."
INS-7975DDEB,2026-09-12 13:07:45,Supervisor Sunita Patel,MYFITNESS,NON-COMPLIANT,56.2,use_by,,0.0,NOT_VERIFIABLE,,,N/A,PASS,FAIL,6,"Manufacturer Name: No manufacturer or corporate identity detected on packaging, invoking strict penal liability under Section 36(1) of the Act.; Manufacturer Name: Mandatory declaration 'Manufacturer / Packer / Importer Name' is missing from the package label.; Manufacturer Address: Complete postal address of the manufacturer or packer is missing from the packaging.; Mrp: Maximum Retail Price (MRP) declaration is completely missing from the package in violation of Rule 6(1)(e) and Section 18 of the Act.; Country Of Origin: Country of Origin declaration ('Made in India' / 'Country of Origin') was not detected on the package.; Declaration Placement: Rule 8 placement violation detected: Printed information encroaches into the statutory clear space surrounding the net quantity numeral in violation of Rule 8(1) Proviso. Detected 3 encroaching text element(s) (e.g. 'Batch No. :See CapBodom')."
INS-7975DDEB,2026-09-12 13:07:45,Supervisor Sunita Patel,MYFITNESS,NON-COMPLIANT,56.2,consumer_care,Email: care@myfitness.co.in,96.7,CONFIRMED_PRESENT,3.8,1.0,PASS,PASS,FAIL,6,"Manufacturer Name: No manufacturer or corporate identity detected on packaging, invoking strict penal liability under Section 36(1) of the Act.; Manufacturer Name: Mandatory declaration 'Manufacturer / Packer / Importer Name' is missing from the package label.; Manufacturer Address: Complete postal address of the manufacturer or packer is missing from the packaging.; Mrp: Maximum Retail Price (MRP) declaration is completely missing from the package in violation of Rule 6(1)(e) and Section 18 of the Act.; Country Of Origin: Country of Origin declaration ('Made in India' / 'Country of Origin') was not detected on the package.; Declaration Placement: Rule 8 placement violation detected: Printed information encroaches into the statutory clear space surrounding the net quantity numeral in violation of Rule 8(1) Proviso. Detected 3 encroaching text element(s) (e.g. 'Batch No. :See CapBodom')."
INS-7975DDEB,2026-09-12 13:07:45,Supervisor Sunita Patel,MYFITNESS,NON-COMPLIANT,56.2,address,,0.0,NOT_VERIFIABLE,,,N/A,PASS,FAIL,6,"Manufacturer Name: No manufacturer or corporate identity detected on packaging, invoking strict penal liability under Section 36(1) of the Act.; Manufacturer Name: Mandatory declaration 'Manufacturer / Packer / Importer Name' is missing from the package label.; Manufacturer Address: Complete postal address of the manufacturer or packer is missing from the packaging.; Mrp: Maximum Retail Price (MRP) declaration is completely missing from the package in violation of Rule 6(1)(e) and Section 18 of the Act.; Country Of Origin: Country of Origin declaration ('Made in India' / 'Country of Origin') was not detected on the package.; Declaration Placement: Rule 8 placement violation detected: Printed information encroaches into the statutory clear space surrounding the net quantity numeral in violation of Rule 8(1) Proviso. Detected 3 encroaching text element(s) (e.g. 'Batch No. :See CapBodom')."
INS-7975DDEB,2026-09-12 13:07:45,Supervisor Sunita Patel,MYFITNESS,NON-COMPLIANT,56.2,manufacturer_address,,0.0,NOT_VERIFIABLE,,,N/A,PASS,FAIL,6,"Manufacturer Name: No manufacturer or corporate identity detected on packaging, invoking strict penal liability under Section 36(1) of the Act.; Manufacturer Name: Mandatory declaration 'Manufacturer / Packer / Importer Name' is missing from the package label.; Manufacturer Address: Complete postal address of the manufacturer or packer is missing from the packaging.; Mrp: Maximum Retail Price (MRP) declaration is completely missing from the package in violation of Rule 6(1)(e) and Section 18 of the Act.; Country Of Origin: Country of Origin declaration ('Made in India' / 'Country of Origin') was not detected on the package.; Declaration Placement: Rule 8 placement violation detected: Printed information encroaches into the statutory clear space surrounding the net quantity numeral in violation of Rule 8(1) Proviso. Detected 3 encroaching text element(s) (e.g. 'Batch No. :See CapBodom')."
INS-7975DDEB,2026-09-12 13:07:45,Supervisor Sunita Patel,MYFITNESS,NON-COMPLIANT,56.2,ingredients,,0.0,NOT_VERIFIABLE,,,N/A,PASS,FAIL,6,"Manufacturer Name: No manufacturer or corporate identity detected on packaging, invoking strict penal liability under Section 36(1) of the Act.; Manufacturer Name: Mandatory declaration 'Manufacturer / Packer / Importer Name' is missing from the package label.; Manufacturer Address: Complete postal address of the manufacturer or packer is missing from the packaging.; Mrp: Maximum Retail Price (MRP) declaration is completely missing from the package in violation of Rule 6(1)(e) and Section 18 of the Act.; Country Of Origin: Country of Origin declaration ('Made in India' / 'Country of Origin') was not detected on the package.; Declaration Placement: Rule 8 placement violation detected: Printed information encroaches into the statutory clear space surrounding the net quantity numeral in violation of Rule 8(1) Proviso. Detected 3 encroaching text element(s) (e.g. 'Batch No. :See CapBodom')."
